,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
518513,NC,Mecklenburg County,37,119,6/28/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518514,NC,Mecklenburg County,37,119,6/29/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518515,NC,Mecklenburg County,37,119,6/30/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518516,NC,Mecklenburg County,37,119,7/1/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518517,NC,Mecklenburg County,37,119,7/2/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518518,NC,Mecklenburg County,37,119,7/3/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518519,NC,Mecklenburg County,37,119,7/4/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518520,NC,Mecklenburg County,37,119,7/5/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518521,NC,Mecklenburg County,37,119,7/6/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518522,NC,Mecklenburg County,37,119,7/7/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518523,NC,Mecklenburg County,37,119,7/8/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518524,NC,Mecklenburg County,37,119,7/9/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518525,NC,Mecklenburg County,37,119,7/10/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518526,NC,Mecklenburg County,37,119,7/11/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518527,NC,Mecklenburg County,37,119,7/12/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518528,NC,Mecklenburg County,37,119,7/13/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518529,NC,Mecklenburg County,37,119,7/14/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518530,NC,Mecklenburg County,37,119,7/15/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518531,NC,Mecklenburg County,37,119,7/16/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf,"N.C. Exec. Order No. 147 (June 24, 2020)"
518532,NC,Mecklenburg County,37,119,7/17/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518533,NC,Mecklenburg County,37,119,7/18/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518534,NC,Mecklenburg County,37,119,7/19/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518535,NC,Mecklenburg County,37,119,7/20/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518536,NC,Mecklenburg County,37,119,7/21/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518537,NC,Mecklenburg County,37,119,7/22/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518538,NC,Mecklenburg County,37,119,7/23/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518540,NC,Mecklenburg County,37,119,7/24/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518541,NC,Mecklenburg County,37,119,7/25/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518542,NC,Mecklenburg County,37,119,7/26/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518543,NC,Mecklenburg County,37,119,7/27/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518544,NC,Mecklenburg County,37,119,7/28/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518545,NC,Mecklenburg County,37,119,7/29/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518546,NC,Mecklenburg County,37,119,7/30/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518547,NC,Mecklenburg County,37,119,7/31/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518548,NC,Mecklenburg County,37,119,8/1/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
